Course,Title,CourseType,Instructor,StartDate,EndDate,Weekdays,StartTime,EndTime,Location,RoomType,Enrolled,Credits
DNC 0091 05,Special Topics,LEC,Coles Gregory A,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M040 113,Class Laboratory,12,0.5
DNC 0091 06,Special Topics,LEC,Coles Gregory A,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M040 113,Class Laboratory,6,0.5
DNC 0091 14,Special Topics,LEC,TBD,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M040 106,Class Laboratory,0,0.5
DNC 0091 15,Special Topics,LEC,Thomas Sheriden,9/2/14,12/8/14,MW,9:00 AM,10:15 AM,M040 106,Class Laboratory,5,0.5
DNC 0191 01,Advanced Dance Studies,LEC,Celichowska Renata,9/2/14,12/8/14,,,,M040 106,Class Laboratory,1,1
DR 0002 01,Ancient/medieval Theatre,LEC,Cima Gibson Alessandro,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M040 005,Classroom,12,1
DR 0010 01,Acting I:intro To Acting,LEC,Rosvally Danielle,9/2/14,12/8/14,MW,9:30 AM,11:45 AM,M019 075CO,Classroom,18,1
DR 0010 02,Acting I:intro To Acting,LEC,Holden Beck C.,9/2/14,12/8/14,MW,1:30 PM,3:45 PM,M019 075CO,Classroom,18,1
DR 0010 03,Acting I:intro To Acting,LEC,Yakubovskaya Irina,9/2/14,12/8/14,TR,12:00 PM,2:15 PM,M019 075CO,Classroom,17,1
DR 0010 04,Acting I:intro To Acting,LEC,Swimm Katherine J.,9/2/14,12/8/14,TR,4:30 PM,6:45 PM,M019 075CO,Classroom,18,1
DR 0010 05,Acting I:intro To Acting,LEC,King Patrick J.,9/2/14,12/8/14,MW,4:30 PM,6:45 PM,M019 075CO,Classroom,20,1
DR 0012 01,Acting II,LEC,Thomas Sheriden,9/2/14,12/8/14,TR,9:30 AM,11:45 AM,M036 101,Class Laboratory,10,1
DR 0017 01,Theater Technology,LEC,Mulligan John R.,9/2/14,12/8/14,M,1:20 PM,4:20 PM,M040 002B,Classroom,8,1
DR 0017 01,Theater Technology,LEC,Mulligan John R.,9/2/14,12/8/14,M,1:20 PM,4:20 PM,M102 102,Classroom,8,1
DR 0018 01,Lighting I,LEC,Lilienthal Brian J.,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M040 002B,Classroom,14,1
DR 0027 01,Public Speaking,LEC,Cooney Deborah H.,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M019 013,Classroom,4,1
DR 0027 02,Public Speaking,LEC,Cooney Deborah H.,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M019 013,Classroom,11,1
DR 0027 03,Public Speaking,LEC,Cooney Deborah H.,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M019 013,Classroom,12,1
DR 0027 04,Public Speaking,LEC,Cooney Deborah H.,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M019 013,Classroom,6,1
DR 0028 01,Voice/speech-Confid Exp,LEC,Grossman Barbara W,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M036 101,Class Laboratory,17,1
DR 0050 01,Intro To Film Studies,LEC,Marquette Scarlet,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M006 100,Classroom,19,1
DR 0050 R,Intro To Film Studies,RCT,Marquette Scarlet,9/2/14,12/8/14,T,6:30 PM,9:30 PM,M024 316,Classroom,14,1
DR 0081 05,Practicum In Production,LEC,Dupras Faye,9/2/14,12/8/14,,,,M040 002B,Classroom,8,0.5
DR 0093 01,Special Topics,LEC,Thomas Sheriden,9/2/14,12/8/14,MW,9:00 AM,10:15 AM,M040 106,Class Laboratory,5,1
DR 0093 02,Special Topics,LEC,Nathans Heather Shawn,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M003 206,Classroom,10,1
DR 0093 02R,Special Topics,RCT,Nathans Heather Shawn,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M003 206,Classroom,10,1
DR 0093 05,Special Topics,LEC,Thomas Sheriden,9/2/14,12/8/14,TR,1:30 PM,3:15 PM,M036 101,Class Laboratory,7,1
DR 0093 06,Special Topics,LEC,Jones Khary,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M019 012,Classroom,4,1
DR 0093 07,Special Topics,LEC,Jones Khary,9/2/14,12/8/14,R,1:20 PM,4:20 PM,M019 013,Classroom,15,1
DR 0093 08,Special Topics,LEC,TBD,9/2/14,12/8/14,MW,6:00 PM,9:00 PM,M019 009,Classroom,0,1
DR 0119 01,History Style & Decor,LEC,Simpson Theodore B.,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M040 005,Classroom,8,1
DR 0126 01,Costume Design,LEC,Girard Linda Ross,9/2/14,12/8/14,M,1:20 PM,4:20 PM,M040 002B,Classroom,9,1
DR 0147 01,Playwriting I,LEC,Valdes Greenwood David L.,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M010 123,Seminar Room,11,1
DR 0155 01,Directing I,LEC,Cima Gibson Alessandro,9/2/14,12/8/14,MW,1:30 PM,3:15 PM,M019 030,Assembly,9,1
DR 0193 01,Special Topics,LEC,Burton Jennifer,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M019 011,Classroom,6,1
DR 0193 04,Special Topics,LEC,Burton Jennifer,9/2/14,12/8/14,T,1:30 PM,4:00 PM,M019 011,Classroom,8,1
DR 0193 05,Special Topics,LEC,Cima Gibson Alessandro,9/2/14,12/8/14,T,4:30 PM,7:00 PM,M019 002,Classroom,2,1
DR 0220 01,Intro To Grad Studies,LEC,Nathans Heather Shawn,9/2/14,12/8/14,W,1:20 PM,4:20 PM,M019 002,Classroom,4,1
DR 0240 01,History Of Pop Entertain,LEC,Senelick Laurence,9/2/14,12/8/14,M,1:30 PM,4:30 PM,M019 002,Classroom,8,1
DR 0261 01,Classical Dramatic Theor,LEC,Baldyga Natalya,9/2/14,12/8/14,R,1:20 PM,4:20 PM,M019 002,Classroom,9,1
DR 0293 01,Special Topics,LEC,Cima Gibson Alessandro,9/2/14,12/8/14,T,4:30 PM,7:00 PM,M019 002,Classroom,6,1
EC 0003 01,Financial Accounting,LEC,Murphy Charles,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M007 001,Classroom,60,1
EC 0005 01,Principles Economics,LEC,Norman George,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M019 102,Assembly,308,1
EC 0005 RA,Principles Economics,RCT,Norman George,9/2/14,12/8/14,R,4:30 PM,5:25 PM,M007 225,Classroom,23,1
EC 0005 RB,Principles Economics,RCT,Norman George,9/2/14,12/8/14,R,6:00 PM,6:50 PM,M007 225,Classroom,26,1
EC 0005 RC,Principles Economics,RCT,Norman George,9/2/14,12/8/14,R,7:30 PM,8:15 PM,M007 225,Classroom,25,1
EC 0005 RD,Principles Economics,RCT,Norman George,9/2/14,12/8/14,T,4:30 PM,5:20 PM,M007 225,Classroom,21,1
EC 0005 RE,Principles Economics,RCT,Norman George,9/2/14,12/8/14,T,6:00 PM,6:50 PM,M007 225,Classroom,23,1
EC 0005 RF,Principles Economics,RCT,Norman George,9/2/14,12/8/14,T,7:30 PM,8:15 PM,M007 225,Classroom,12,1
EC 0005 RG,Principles Economics,RCT,Norman George,9/2/14,12/8/14,F,10:30 AM,11:20 AM,M007 223,Classroom,25,1
EC 0005 RH,Principles Economics,RCT,Norman George,9/2/14,12/8/14,R,6:00 PM,6:50 PM,M007 223,Classroom,18,1
EC 0005 RI,Principles Economics,RCT,Norman George,9/2/14,12/8/14,F,12:00 PM,12:50 PM,M007 223,Classroom,22,1
EC 0005 RK,Principles Economics,RCT,Norman George,9/2/14,12/8/14,M,6:00 PM,6:50 PM,M007 223,Classroom,22,1
EC 0005 RL,Principles Economics,RCT,Norman George,9/2/14,12/8/14,M,7:30 PM,8:15 PM,M007 223,Classroom,12,1
EC 0005 RM,Principles Economics,RCT,Norman George,9/2/14,12/8/14,W,9:30 AM,10:20 AM,M007 223,Classroom,24,1
EC 0005 RN,Principles Economics,RCT,Norman George,9/2/14,12/8/14,W,6:00 PM,6:50 PM,M007 225,Classroom,16,1
EC 0005 RO,Principles Economics,RCT,Norman George,9/2/14,12/8/14,W,7:30 PM,8:15 PM,M007 225,Classroom,10,1
EC 0005 RQ,Principles Economics,RCT,Norman George,9/2/14,12/8/14,W,6:00 PM,6:50 PM,M007 113,Classroom,7,1
EC 0005 RR,Principles Economics,RCT,Norman George,9/2/14,12/8/14,W,7:30 PM,8:15 PM,M007 113,Classroom,6,1
EC 0006 01,Business Law,LEC,Kronberg Peter W. S.,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M007 226,Classroom,28,1
EC 0011 01,Intermed Microecon Thry,LEC,Gee Laura,9/2/14,12/8/14,MW,6:00 PM,7:15 PM,M007 222,Classroom,35,1
EC 0011 02,Intermed Microecon Thry,LEC,Gee Laura,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M007 222,Classroom,37,1
EC 0011 03,Intermed Microecon Thry,LEC,Menegotto Deborah,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 118,Classroom,33,1
EC 0011 04,Intermed Microecon Thry,LEC,Luallen Jeremy Clayton,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M007 113,Classroom,19,1
EC 0011 05,Intermed Microecon Thry,LEC,Luallen Jeremy Clayton,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M007 113,Classroom,23,1
EC 0012 01,Intermed Macroecon Thry,LEC,Switala Andre,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M007 226,Classroom,11,1
EC 0012 02,Intermed Macroecon Thry,LEC,Switala Andre,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M007 222,Classroom,27,1
EC 0012 03,Intermed Macroecon Thry,LEC,Fusillo Michael,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 222,Classroom,35,1
EC 0012 04,Intermed Macroecon Thry,LEC,Fusillo Michael,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M007 118,Classroom,18,1
EC 0013 01,Statistics,LEC,Downes Thomas,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M004 008,Classroom,146,1
EC 0013 RA,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,R,4:30 PM,5:25 PM,M007 002,Computer Lab,24,1
EC 0013 RA,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,R,4:30 PM,5:25 PM,M007 222,Classroom,24,1
EC 0013 RB,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,R,6:00 PM,6:50 PM,M007 118,Classroom,25,1
EC 0013 RB,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,R,6:00 PM,6:50 PM,M010 208,Computer Lab,25,1
EC 0013 RC,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,R,7:30 PM,8:15 PM,M007 118,Classroom,25,1
EC 0013 RC,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,R,7:30 PM,8:15 PM,M010 208,Computer Lab,25,1
EC 0013 RD,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,F,8:30 AM,9:20 AM,M007 002,Computer Lab,17,1
EC 0013 RD,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,F,8:30 AM,9:20 AM,M007 118,Classroom,17,1
EC 0013 RE,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,F,10:30 AM,11:20 AM,M007 002,Computer Lab,24,1
EC 0013 RE,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,F,10:30 AM,11:20 AM,M007 118,Classroom,24,1
EC 0013 RF,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,F,1:30 PM,2:20 PM,M007 002,Computer Lab,25,1
EC 0013 RF,Statistics,RCT,Downes Thomas,9/2/14,12/8/14,F,1:30 PM,2:20 PM,M007 118,Classroom,25,1
EC 0015 01,Basic Econometrics,LEC,Ngatia Muthoni,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 002,Computer Lab,21,1
EC 0015 01,Basic Econometrics,LEC,Ngatia Muthoni,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 223,Classroom,21,1
EC 0015 02,Basic Econometrics,LEC,Ngatia Muthoni,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 002,Computer Lab,20,1
EC 0015 02,Basic Econometrics,LEC,Ngatia Muthoni,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 118,Classroom,20,1
EC 0015 03,Basic Econometrics,LEC,Garman David,9/2/14,12/8/14,MW,8:30 AM,9:20 AM,M007 002,Computer Lab,14,1
EC 0015 03,Basic Econometrics,LEC,Garman David,9/2/14,12/8/14,MW,8:30 AM,9:20 AM,M007 222,Classroom,14,1
EC 0015 03,Basic Econometrics,LEC,Garman David,9/2/14,12/8/14,R,9:30 AM,10:20 AM,M007 002,Computer Lab,14,1
EC 0015 03,Basic Econometrics,LEC,Garman David,9/2/14,12/8/14,R,9:30 AM,10:20 AM,M007 222,Classroom,14,1
EC 0015 04,Basic Econometrics,LEC,McInerney Melissa,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 002,Computer Lab,20,1
EC 0015 04,Basic Econometrics,LEC,McInerney Melissa,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 225,Classroom,20,1
EC 0015 05,Basic Econometrics,LEC,McInerney Melissa,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M007 225,Classroom,11,1
EC 0015 05,Basic Econometrics,LEC,McInerney Melissa,9/2/14,12/8/14,W,1:30 PM,2:45 PM,M010 208,Computer Lab,11,1
EC 0015 RA,Basic Econometrics,RCT,Garman David,9/2/14,12/8/14,T,7:00 PM,9:00 PM,M010 208,Computer Lab,16,1
EC 0016 01,Foundations Quant Ec,LEC,Gnedenko Ekaterina,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 113,Classroom,27,1
EC 0018 01,Quant Inter Macroec Thry,LEC,Richards Daniel,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 113,Classroom,24,1
EC 0019 01,Review Quant Macro Thry,LEC,Richards Daniel,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M007 113,Classroom,0,0.5
EC 0024 01,Game Theory,LEC,Turner Sergio,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M007 222,Classroom,32,1
EC 0030 01,Environmental Economics,LEC,Jack Brooke Kelsey,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M017 225,Classroom,34,1
EC 0030 02,Environmental Economics,LEC,Jack Brooke Kelsey,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M007 222,Classroom,27,1
EC 0035 01,Economic Development,LEC,Dapice David O,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 118,Classroom,13,1
EC 0035 02,Economic Development,LEC,Emerick Kyle J.,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M007 222,Classroom,18,1
EC 0048 01,Health Economics,LEC,Bentkover Judith,9/2/14,12/8/14,T,8:30 AM,11:30 AM,M007 225,Classroom,24,1
EC 0050 01,Introduction to Finance,LEC,Manos Christopher,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M007 223,Classroom,30,1
EC 0050 02,Introduction to Finance,LEC,Manos Christopher,9/2/14,12/8/14,TR,4:30 PM,5:45 PM,M007 223,Classroom,27,1
EC 0060 01,International Econ,LEC,Spolaore Enrico,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M007 001,Classroom,135,1
EC 0060 A,International Econ,RCT,Spolaore Enrico,9/2/14,12/8/14,F,10:30 AM,11:20 AM,M007 222,Classroom,23,1
EC 0060 B,International Econ,RCT,Spolaore Enrico,9/2/14,12/8/14,F,12:00 PM,12:50 PM,M007 113,Classroom,20,1
EC 0060 C,International Econ,RCT,Spolaore Enrico,9/2/14,12/8/14,F,1:30 PM,2:20 PM,M007 113,Classroom,20,1
EC 0060 D,International Econ,RCT,Spolaore Enrico,9/2/14,12/8/14,W,9:30 AM,10:20 AM,M007 113,Classroom,20,1
EC 0060 E,International Econ,RCT,Spolaore Enrico,9/2/14,12/8/14,W,6:00 PM,6:50 PM,M007 226,Classroom,25,1
EC 0060 F,International Econ,RCT,Spolaore Enrico,9/2/14,12/8/14,F,1:30 PM,2:20 PM,M007 226,Classroom,19,1
EC 0091 01,Intro Selected Topics,LEC,Hardman Anna,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M007 113,Classroom,10,1
EC 0100 01,Found Ideas/econ Theory,LEC,Rothenberg Winifred B,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M007 118,Classroom,14,1
EC 0107 01,Econometric Analysis,LEC,Garman David,9/2/14,12/8/14,TWF,9:30 AM,10:20 AM,M007 222,Classroom,31,1
EC 0107 RA,Econometric Analysis,RCT,Garman David,9/2/14,12/8/14,W,7:00 PM,9:00 PM,M010 208,Computer Lab,20,1
EC 0109 01,Rev Econometric Analysis,LEC,Garman David,9/2/14,12/8/14,TWF,9:30 AM,10:20 AM,M007 222,Classroom,0,0.5
EC 0127 01,Urban Economics,LEC,Hardman Anna,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 222,Classroom,18,1
EC 0136 01,Topics In Economic Devel,LEC,McMillan Margaret,9/2/14,12/8/14,F,10:00 AM,12:30 PM,M007 226,Classroom,15,1
EC 0148 01,Economics of Sports,LEC,Downes Thomas,9/2/14,12/8/14,MW,8:30 AM,9:20 AM,M007 223,Classroom,20,1
EC 0148 01,Economics of Sports,LEC,Downes Thomas,9/2/14,12/8/14,R,9:30 AM,10:20 AM,M007 223,Classroom,20,1
EC 0150 01,Financial Economics,LEC,Bethune Brian,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M007 118,Classroom,28,1
EC 0150 02,Financial Economics,LEC,Richards Daniel,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M007 222,Classroom,32,1
EC 0151 01,Monetary Economics,LEC,McHugh Christopher,9/2/14,12/8/14,MW,6:00 PM,7:15 PM,M007 118,Classroom,19,1
EC 0154 01,Methods In Econ&finance,LEC,Bianconi Marcelo,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M007 223,Classroom,8,1
EC 0161 01,International Trade,LEC,Brown Drusilla,9/2/14,12/8/14,TR,3:00 PM,4:15 PM,M007 226,Classroom,28,1
EC 0162 01,International Finance,LEC,Kimelman Nancy,9/2/14,12/8/14,MW,1:30 PM,2:45 PM,M007 113,Classroom,33,1
EC 0169 01,Quantitat Int'l Finance,LEC,Turner Sergio,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M007 118,Classroom,4,1
EC 0170 01,Industrial Organization,LEC,Menegotto Deborah,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M007 118,Classroom,40,1
EC 0177 01,Economics Organization,LEC,Pepall Lynne M,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 113,Classroom,14,1
EC 0191 01,Intermed Selected Topics,LEC,Turner Sergio,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 226,Classroom,10,1
EC 0191 02,Intermed Selected Topics,LEC,Pepall Lynne M,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M007 223,Classroom,20,1
EC 0192 01,Advanced Seminar Econ,LEC,Chakravorty Ujjayant,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M007 223,Classroom,19,1
EC 0197 01,Sr Thesis Research Sem,LEC,Hardman Anna,9/2/14,12/8/14,T,3:00 PM,3:50 PM,M007 225,Classroom,10,0.5
EC 0201 01,Advanced Statistics,LEC,Zabel Jeffrey E,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M007 226,Classroom,20,1
EC 0203 01,Microeconomic Theory I,LEC,Metcalf Gilbert,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M007 223,Classroom,24,1
EC 0205 01,Macroeconomic Theory I,LEC,Ioannides Yannis,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M007 225,Classroom,25,1
EC 0207 01,Applied Econometrics,LEC,Zabel Jeffrey E,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M017 225,Classroom,10,1
EC 0211 01,SEMINAR IN ECONOMIC THEORY,LEC,Metcalf Gilbert,9/2/14,12/8/14,M,4:30 PM,5:20 PM,M007 118,Classroom,8,0.5
ED 0011 01,Observing Theory Action,LEC,Cohen Steven D,9/2/14,12/8/14,R,8:00 AM,11:20 AM,M007 226,Classroom,17,1
ED 0011 01,Observing Theory Action,LEC,Cohen Steven D,9/2/14,12/8/14,T,10:30 AM,11:45 AM,M007 226,Classroom,17,1
ED 0091 01,SPECIAL TOPICS,LEC,Redmond Ryan D,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M027 201,Seminar Room,1,1
ED 0101 01,Intro To Teaching,LEC,Beardsley Linda V,9/2/14,12/8/14,TR,5:00 PM,6:20 PM,M019 012,Classroom,24,1
ED 0103 01,Intro Teaching/Elementary Schl,LEC,Beardsley Linda V,9/2/14,12/8/14,R,5:00 PM,6:30 PM,M017 110,Seminar Room,6,1
ED 0103 01,Intro Teaching/Elementary Schl,LEC,Beardsley Linda V,9/2/14,12/8/14,T,5:00 PM,8:00 PM,M007 226,Classroom,6,1
ED 0110 01,Hist & Soc St Curricula,LEC,Cohen Steven D,9/2/14,12/8/14,W,4:30 PM,8:15 PM,M024 314,Classroom,10,1
ED 0111 01,Dev Knowledge&reason Sci,LEC,Hammer David,9/2/14,12/8/14,W,4:30 PM,7:15 PM,M010 124,Seminar Room,9,1
ED 0112 01,Math Learning Environmen,LEC,Wilkerson-Jerde Michelle,9/2/14,12/8/14,W,4:30 PM,7:15 PM,M038 015,Seminar Room,8,1
ED 0113 01,Lang Arts Curr Gr 5-12,LEC,Beardsley Linda V,9/2/14,12/8/14,W,4:30 PM,7:15 PM,M019 013,Classroom,3,1
ED 0114 01,Ling Appr/2nd Lang Acq,LEC,Stoessel Saskia,9/2/14,12/8/14,W,4:30 PM,7:15 PM,M086 116,Classroom,11,1
ED 0116 01,Interdisciplinary Elem C,LEC,Gravel Brian Edward,9/2/14,12/8/14,R,4:30 PM,7:15 PM,M038 015,Seminar Room,6,1
ED 0119 01,Engineering Education,LEC,Hammer David,9/2/14,12/8/14,W,4:30 PM,7:15 PM,M010 124,Seminar Room,3,1
ED 0130 01,Human Dev & Learning,LEC,Gravel Brian Edward,9/2/14,12/8/14,M,4:30 PM,7:15 PM,M027 010,Classroom,14,1
ED 0142 01,Educ Except Child,LEC,Seaton Erin,9/2/14,12/8/14,M,4:30 PM,7:15 PM,M010 202,Classroom,16,1
ED 0161 01,Sociology Of School,LEC,Oeur Freeden,9/2/14,12/8/14,M,4:30 PM,7:15 PM,M019 012,Classroom,20,1
ED 0162 01,ClsRaceGndr Hist Us Ed,LEC,Perella John,9/2/14,12/8/14,T,6:00 PM,9:00 PM,M010 201,Classroom,16,1
ED 0164 01,Educ For Peace & Justice,LEC,Donahue-Keegan Deborah,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M010 201,Classroom,10,1
ED 0191 01,Special Topics,LEC,Oeur Freeden,9/2/14,12/8/14,R,1:20 PM,4:20 PM,M040 006,Classroom,8,1
ED 0191 02,Special Topics,LEC,Shapiro Ben,9/2/14,12/8/14,W,1:30 PM,3:50 PM,M027 007,Seminar Room,6,1
ED 0191 03,Special Topics,LEC,Shapiro Ben,9/2/14,12/8/14,MW,4:30 PM,5:45 PM,M026 108,Classroom,1,1
ED 0191 04,Special Topics,LEC,Wilkerson-Jerde Michelle,9/2/14,12/8/14,T,1:30 PM,4:00 PM,M027 201,Seminar Room,6,1
ED 0221 01,1styr Sem Sch Psych Prac A,LEC,Luz-Alterman Steven,9/2/14,12/8/14,R,11:45 AM,1:10 PM,M027 201,Seminar Room,8,0
ED 0221 02,1styr Sem Sch Psych Prac A,LEC,Seaton Erin,9/2/14,12/8/14,R,11:45 AM,1:10 PM,M027 201,Seminar Room,7,0
ED 0222 01,Mste Pro-Seminar,LEC,Brizuela Barbara,9/2/14,12/8/14,R,4:00 PM,6:30 PM,M010 123,Seminar Room,11,0.5
ED 0230 01,FndsoflngCog&acad Intvn,LEC,Seaton Erin,9/2/14,12/8/14,R,1:20 PM,4:20 PM,M007 223,Classroom,17,1
ED 0231 01,Practic Coun&schl Psych,LEC,Rogers Laura,9/2/14,12/8/14,R,1:30 PM,3:30 PM,M027 201,Seminar Room,5,1
ED 0231 02,Practic Coun&schl Psych,LEC,Trant Robert,9/2/14,12/8/14,W,4:00 PM,6:00 PM,M027 201,Seminar Room,4,1
ED 0231 03,Practic Coun&schl Psych,LEC,Welch Michele,9/2/14,12/8/14,W,5:00 PM,7:00 PM,M027 007,Seminar Room,5,1
ED 0237 01,Common Factors In Cnslng,LEC,Luz-Alterman Steven,9/2/14,12/8/14,R,8:30 AM,11:30 AM,M038 113,Seminar Room,15,1
ED 0238 01,Adv Approaches To Cnslng,LEC,Luz-Alterman Steven,9/2/14,12/8/14,T,8:30 AM,11:30 AM,M022 153,Classroom,15,1
ED 0241 01,Fnds Psychoed Assessment,LEC,Camposano Stacy,9/2/14,12/8/14,T,5:00 PM,8:00 PM,M002 007,Classroom,15,1
ED 0246 01,SocEmoBeh Assessment,LEC,Rogers Laura,9/2/14,12/8/14,T,1:20 PM,4:20 PM,M022 152,Classroom,14,1
ED 0254 01,Dev Psychpathology In Ed,LEC,Trant Robert,9/2/14,12/8/14,R,5:00 PM,8:00 PM,M007 226,Classroom,15,1
ED 0255 01,Prof Prac In Schl Psych,LEC,Pinto Silas O.,9/2/14,12/8/14,T,1:20 PM,4:20 PM,M010 204,Classroom,15,1
ED 0257 01,Internship School Psych,LEC,Hall Ann,9/2/14,12/8/14,T,4:30 PM,6:30 PM,M027 201,Seminar Room,5,1
ED 0257 02,Internship School Psych,LEC,Vorkink Rachel S,9/2/14,12/8/14,T,4:30 PM,6:30 PM,M027 306,Classroom,5,1
ED 0257 03,Internship School Psych,LEC,Carver Denise,9/2/14,12/8/14,R,4:00 PM,6:00 PM,M027 201,Seminar Room,6,1
ED 0280 01,Museum Ed & Interp,LEC,Robinson Cynthia,9/2/14,12/8/14,W,6:00 PM,9:00 PM,M024 310,Classroom,14,1
ED 0285 01,Museums:mission&function,LEC,Robinson Cynthia,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M024 314,Classroom,7,1
ED 0285 02,Museums:mission&function,LEC,Iacobucci Cara M,9/2/14,12/8/14,R,6:00 PM,9:00 PM,M024 316,Classroom,4,1
ED 0286 01,Museums & New Media,LEC,Fleming Jennifer,9/2/14,12/8/14,T,6:30 PM,9:30 PM,M038 015,Seminar Room,13,1
EE 0014 01,Microproc Arch/app W/lab,LEC,Chang Chorng Hwa,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M026 108,Classroom,30,1
EE 0022 01,Electronics II W/lab,LEC,Sonkusale Sameer,9/2/14,12/8/14,MW,10:30 AM,11:45 AM,M026 111B,Classroom,22,1
EE 0023 01,Linear Systems,LEC,Aeron Shuchin,9/2/14,12/8/14,MW,3:00 PM,4:15 PM,M026 111B,Classroom,30,1
EE 0093 MMD,Special Topics,LEC,Lasser Ronald,9/2/14,12/8/14,TR,12:00 PM,1:15 PM,M026 108,Classroom,9,0.5
EE 0095 02,Special Projects,LEC,Lasser Ronald,9/2/14,12/8/14,F,12:00 PM,1:15 PM,M026 111B,Classroom,0,0.5
EE 0097 01,Senior Design Project,LEC,Lasser Ronald,9/2/14,12/8/14,F,10:30 AM,11:45 AM,M026 111B,Classroom,25,0.5
EE 0103 01,Intro To Vlsi Design,LEC,Koomson Valencia Margie Joyner,9/2/14,12/8/14,TR,1:30 PM,2:45 PM,M026 111B,Classroom,14,1
EE 0104 01,Probabilistic Sys Analys,LEC,Miller Eric L,9/2/14,12/8/14,TR,10:30 AM,11:45 AM,M026 111B,Classroom,34,1
